JANUARY 2026 CAMPAIGN - WEEKLY TRACKING TEMPLATE (14-DAY TRIAL),,,,,,,,
,,,,,,,,,
CAMPAIGN TARGETS,,,,,,,,,
Target Total Signups,100,,,,,,,,
Target Total Cost,"$350",,,,,,,,
Target Cost Per User,"$3.50",,,,,,,,
API Cost Per User,"$3.50",,,,,,,,
,,,,,,,,,
WEEKLY PERFORMANCE TRACKER,,,,,,,,,
Week,Dates,New Signups,Cumulative Signups,% of Target,Daily API Cost,Weekly API Cost,Cumulative Cost,Budget Remaining,Status
Week 1,Jan 1-7,25,=C10,=D10/$C$4,$13,=F10*7,=G10,=$C$5-H10,"=IF(D10<=$C$4*0.3,""✅ On Track"",IF(D10<=$C$4*0.4,""⚠️ Monitor"",""🔴 Over""))"
Week 2,Jan 8-14,25,=C10+C11,=D11/$C$4,$13,=F11*7,=H10+G11,=$C$5-H11,"=IF(D11<=$C$4*0.6,""✅ On Track"",IF(D11<=$C$4*0.7,""⚠️ Monitor"",""🔴 Over""))"
Week 3,Jan 15-21,20,=C11+C12,=D12/$C$4,$10,=F12*7,=H11+G12,=$C$5-H12,"=IF(D12<=$C$4*0.85,""✅ On Track"",IF(D12<=$C$4*0.95,""⚠️ Monitor"",""🔴 Over""))"
Week 4,Jan 22-31,30,=C12+C13,=D13/$C$4,$15,=F13*10,=H12+G13,=$C$5-H13,"=IF(D13<=$C$4*1.1,""✅ On Track"",IF(D13<=$C$4*1.2,""⚠️ Monitor"",""🔴 Over""))"
TOTALS,,=SUM(C10:C13),=D13,=D13/$C$4,,=SUM(G10:G13),=H13,=$C$5-H13,"=IF(H13<=$C$5,""✅ Under Budget"",""🔴 Over Budget"")"
,,,,,,,,,
VARIANCE ANALYSIS,,,,,,,,,
Metric,Target,Actual,Variance,Variance %,Status,,,,
Total Signups,=C4,=D14,=D18-C18,=E18/C18,"=IF(ABS(F18)<0.1,""✅ GOOD"",IF(ABS(F18)<0.2,""⚠️ REVIEW"",""🔴 ACTION""))",,,,
Total Cost,=C5,=H14,=D19-C19,=E19/C19,"=IF(D19<=C19,""✅ GOOD"",IF(F19<0.15,""⚠️ REVIEW"",""🔴 ACTION""))",,,,
Cost Per User,=C6,=H14/D14,=D20-C20,=E20/C20,"=IF(ABS(F20)<0.1,""✅ GOOD"",IF(ABS(F20)<0.2,""⚠️ REVIEW"",""🔴 ACTION""))",,,,
,,,,,,,,,
DAILY TRACKING (OPTIONAL - Week 1 Example),,,,,,,,,
Date,Day,New Signups,Cumulative,API Cost,Cumulative Cost,Notes,,,
Jan 1,Wed,4,=D25,=E25*$C$7,=F25,Launch day,,,
Jan 2,Thu,3,=D25+D26,=E26*$C$7,=F25+F26,,,,
Jan 3,Fri,4,=D26+D27,=E27*$C$7,=F26+F27,,,,
Jan 4,Sat,2,=D27+D28,=E28*$C$7,=F27+F28,Weekend dip,,,
Jan 5,Sun,3,=D28+D29,=E29*$C$7,=F28+F29,,,,
Jan 6,Mon,5,=D29+D30,=E30*$C$7,=F29+F30,Week start spike,,,
Jan 7,Tue,4,=D30+D31,=E31*$C$7,=F30+F31,,,,
Week 1 Total,,=SUM(D25:D31),=D31,=SUM(E25:E31),=F31,,,,
,,,,,,,,,
ALERTS & THRESHOLDS,,,,,,,,,
Alert Type,Threshold,Current Value,Status,Action Required,,,,,
Daily Spend,>$18/day,=AVERAGE(E25:E31),"=IF(C37<18,""✅ Normal"",IF(C37<25,""⚠️ Warning"",""🔴 Alert""))","=IF(C37>=25,""Investigate usage spike"",""None"")",,,,,
Weekly Signup Rate,<20/week,=C10,"=IF(C38>=20,""✅ Normal"",IF(C38>=15,""⚠️ Low"",""🔴 Alert""))","=IF(C38<15,""Increase marketing"",""None"")",,,,,
Cost Per User,>$4.50,=C20,"=IF(C39<=4.5,""✅ Normal"",IF(C39<=5.5,""⚠️ High"",""🔴 Alert""))","=IF(C39>5.5,""Review API usage"",""None"")",,,,,
Budget Utilization,>90%,=H14/$C$5,"=IF(C40<0.9,""✅ Normal"",IF(C40<0.95,""⚠️ High"",""🔴 Alert""))","=IF(C40>=0.95,""Add budget or pause"",""None"")",,,,,
,,,,,,,,,
BUDGET PHASE MANAGEMENT (14-DAY TRIAL),,,,,,,,,
Phase,Trigger,Load Amount,Cumulative,Status,Date Loaded,,,,
Initial,Campaign Start,"$350","$350",✅ Loaded,Jan 1,,,,
Top-Up 1,>75 signups by Week 2,"$350","$700","=IF(D11>=75,""🟡 Needed"",""⬜ Not Needed"")",,,,
Top-Up 2,>150 signups by Week 3,"$700","$1,400","=IF(D12>=150,""🟡 Needed"",""⬜ Not Needed"")",,,,
,,,,,,,,,
PROVIDER ALLOCATION TRACKING,,,,,,,,,
Provider,% of Total,Initial Load,Top-Up 1,Top-Up 2,Total Allocated,Spent to Date,Remaining,,
Claude,60%,"$210","$210","$420",=SUM(D49:F49),=H14*0.6,=G49-H49,,
OpenAI,40%,"$140","$140","$280",=SUM(D50:F50),=H14*0.4,=G50-H50,,
TOTAL,100%,=D49+D50,=E49+E50,=F49+F50,=SUM(G49:G50),=H14,=G51-H51,,
