COHORT ANALYSIS - JANUARY 2026 TRIAL CAMPAIGN,,,,,,,
,,,,,,,
COHORT OVERVIEW,,,,,,,
Campaign,January 2026 Pro Trial (14 days),,,,,,
Start Date,2026-01-01,,,,,,
End Date,2026-01-31,,,,,,
Trial Signups,100,,,,,,
Converted Users,12,,,,,,
Conversion Rate,12%,,,,,,
Initial Investment,"$350",,,,,,
,,,,,,,
MONTHLY REVENUE TRACKING (12 MONTHS),,,,,,,
Month,Cohort,Active Users,Churned,Churn %,MRR,Cumulative Revenue,Notes
Feb 2026,Jan 2026,12,0,0%,=C11*$20,=E11,Trial conversions complete
Mar 2026,Jan 2026,12,0,0%,=C12*$20,=F11+E12,Full retention
Apr 2026,Jan 2026,11,=C12-C13,=D13/C12,=C13*$20,=F12+E13,First churn event
May 2026,Jan 2026,11,=C13-C14,=D14/C13,=C14*$20,=F13+E14,Retention stable
Jun 2026,Jan 2026,11,=C14-C15,=D15/C14,=C15*$20,=F14+E15,Quarter complete
Jul 2026,Jan 2026,10,=C15-C16,=D16/C15,=C16*$20,=F15+E16,Mid-year churn
Aug 2026,Jan 2026,10,=C16-C17,=D17/C16,=C17*$20,=F16+E17,Retention holding
Sep 2026,Jan 2026,10,=C17-C18,=D18/C17,=C18*$20,=F17+E18,Q3 complete
Oct 2026,Jan 2026,9,=C18-C19,=D19/C18,=C19*$20,=F18+E19,Seasonal churn
Nov 2026,Jan 2026,9,=C19-C20,=D20/C19,=C20*$20,=F19+E20,Year-end approaching
Dec 2026,Jan 2026,9,=C20-C21,=D21/C20,=C21*$20,=F20+E21,Year 1 complete
Jan 2027,Jan 2026,8,=C21-C22,=D22/C21,=C22*$20,=F21+E22,Anniversary month
TOTALS,,,=SUM(D11:D22),=AVERAGE(E11:E22),=E22,=F22,
,,,,,,,
COHORT PERFORMANCE METRICS,,,,,,,
Metric,Value,Calculation,Target,Status,,,
Starting Customers,12,Converted from trial,N/A,N/A,,,
Ending Customers (12mo),=C22,After 12 months,>60%,"=IF(C27/C26>=0.6,""✅ GOOD"",""⚠️ REVIEW"")",,,
Annual Retention,=C27/C26,Ending/Starting,>60%,"=IF(C28>=0.6,""✅ GOOD"",""⚠️ REVIEW"")",,,
Total Churned,=SUM(D11:D22),Sum of churned users,<40%,"=IF(C29/C26<0.4,""✅ GOOD"",""⚠️ REVIEW"")",,,
Avg Monthly Churn,=AVERAGE(E11:E22),Average churn %,<5%,"=IF(C30<0.05,""✅ GOOD"",""⚠️ REVIEW"")",,,
Total MRR (month 12),=E22,Revenue month 12,N/A,N/A,,,
Cumulative Revenue (12mo),=F22,Total revenue,N/A,N/A,,,
Avg Revenue per Customer,=F22/C26,Total rev / customers,>$150,"=IF(C33>150,""✅ GOOD"",""⚠️ REVIEW"")",,,
,,,,,,,
REVENUE PROJECTIONS (36 MONTHS),,,,,,,
Year,Active Users (Avg),MRR (Avg),Annual Revenue,Cumulative,Notes,,
Year 1 (Feb 26-Jan 27),=AVERAGE(C11:C22),=AVERAGE(E11:E22),=C37*12,=D37,First full year,,
Year 2 (Feb 27-Jan 28),=C37*0.75,=C38*20,=C38*12,=D37+D38,Assume 25% annual churn,,
Year 3 (Feb 28-Jan 29),=C38*0.75,=C39*20,=C39*12,=D38+D39,Assume 25% annual churn,,
TOTAL LTV (3 years),,,,,=D39,Total cohort value,
,,,,,,,
ROI ANALYSIS,,,,,,,
Metric,Value,Notes,,,,,
Initial Investment,"$350",API costs for 100 trial users,,,,,
Year 1 Revenue,=D37,First 12 months,,,,,
Year 1 Profit,=D37-C44,Revenue minus investment,,,,,
Year 1 ROI,=C46/C44,Profit/Investment ratio,,,,,
Payback Period (months),=C44/(D37/12),Time to break even,,,,,
3-Year Revenue,=D39,Total lifetime value,,,,,
3-Year Profit,=D39-C44,Total profit after costs,,,,,
3-Year ROI,=C50/C44,3-year return ratio,,,,,
,,,,,,,
CHURN ANALYSIS BY MONTH,,,,,,,
Month,Churned Users,Churn Reason (Assumed),% of Total Churn,,,
Apr 2026,=D13,Price sensitivity / Budget,=B55/SUM($B$55:$B$61),,,
Jul 2026,=D16,Mid-year budget review,=B56/SUM($B$55:$B$61),,,
Oct 2026,=D19,Seasonal / Q4 budget cuts,=B57/SUM($B$55:$B$61),,,
Jan 2027,=D22,Annual subscription review,=B58/SUM($B$55:$B$61),,,
Other Months,=SUM(D11:D22)-SUM(B55:B58),Natural attrition,=B59/SUM($B$55:$B$61),,,
Never Churned,=C22,Retained for 12+ months,=B60/C26,,,
TOTAL,=SUM(B55:B59),,100%,,,
,,,,,,,
CUSTOMER LIFETIME VALUE (CLV) CALCULATION,,,,,,,
Segment,Customers,Avg Lifetime (mo),Monthly Value,CLV,Total CLV,
Year 1 Churners (1-12mo),=C26-C22,6,$20,=C65*D65,=B65*E65,
Year 2+ Retained,=C22,30,$20,=C66*D66,=B66*E66,
TOTAL,=SUM(B65:B66),,,=SUM(E65:E66),=SUM(F65:F66),
,,,,,,,
COHORT HEALTH SCORE,,,,,,,
Metric,Weight,Score (0-100),Weighted Score,Notes,,,
Retention Rate,30%,=C28*100,=B71*C71,High retention = healthy cohort,,,
Revenue Growth,20%,"=IF(E22>E11,100,0)",=B72*C72,MRR stability,,,
Churn Rate,25%,=(1-C30/0.05)*100,=B73*C73,Low churn = good health,,,
LTV:CAC Ratio,25%,"=MIN((E66/29.17)/3*100,100)",=B74*C74,Target >3:1 ratio,,,
OVERALL HEALTH SCORE,,=SUM(D71:D74),,"=IF(D75>80,""🟢 Excellent"",IF(D75>60,""🟡 Good"",""🔴 Needs Attention""))",,,
,,,,,,,
COMPARISON: CAMPAIGN vs ORGANIC SIGNUPS,,,,,,,
Metric,Campaign Cohort,Organic Signups,Difference,Winner,,,
Conversion Rate,12%,8%,+4%,Campaign ✅,,,
CAC,"$29.17",$50,-42%,Campaign ✅,,,
12-Month Retention,=C28,65%,=C81-0.65,"=IF(C81>0.65,""Campaign ✅"",""Organic ✅"")",,,
Avg Revenue/Customer,=C33,"$180",=C82-180,"=IF(C82>180,""Campaign ✅"",""Organic ✅"")",,,
LTV,=E66,"$450",=C83-450,"=IF(C83>450,""Campaign ✅"",""Organic ✅"")",,,
,,,,,,,
ACTION ITEMS BASED ON COHORT DATA,,,,,,,
Priority,Action,Trigger,Expected Impact,,,
High,Re-engagement campaign for churned users,Month 3+ churn,Win back 10-20%,,,
High,Offer annual discount at month 11,Before anniversary,Reduce Year 2 churn,,,
Medium,Upsell to Team tier,Power users (100+ gens/mo),Increase ARPU 2x,,,
Medium,Survey retained users,Month 6,Identify retention drivers,,,
Low,Case study creation,High-engagement users,Marketing content,,,
